Name,Height,Weight,Body_mass_index,Games_Played,Goals,Assists,Shots_on_Goal,Points
Alex Plante,193,102,27.4,10,0.0,2.0,9.0,2.0
Alex Tanguay,185,88,25.7,1088,283.0,580.0,1525.0,863.0
Alex Zhamnov,185,93,27.2,352,85.0,195.0,764.0,280.0
Alexander Burmistrov,185,82,24.0,348,37.0,64.0,435.0,101.0
Alexander Edler,190,98,27.1,873,99.0,302.0,1922.0,401.0
Alexander Frolov,188,95,26.9,579,175.0,222.0,1274.0,397.0
Alexander Karpovtsev,190,100,27.7,260,10.0,54.0,217.0,64.0
Alexander Kharitonov,175,77,25.1,71,7.0,15.0,108.0,22.0
Alexander Khavanov,185,87,25.4,348,27.0,75.0,375.0,102.0
Alexander Mogilny,183,95,28.4,344,144.0,174.0,939.0,318.0
Alexander Nikulin,185,92,26.9,3,0.0,0.0,1.0,0.0
Alexander Perezhogin,183,96,28.7,128,15.0,19.0,212.0,34.0
Alexander Radulov,185,91,26.6,442,136.0,198.0,1005.0,334.0
Alexander Selivanov,183,94,28.1,126,35.0,31.0,226.0,66.0
Alexander Semin,188,95,26.9,650,239.0,278.0,1871.0,517.0
Alexander Steen,183,96,28.7,1018,245.0,377.0,2431.0,622.0
Alexander Sulzer,185,90,26.3,131,7.0,15.0,121.0,22.0
Alexander Svitov,190,103,28.5,179,13.0,24.0,204.0,37.0
Alexander Urbom,193,98,26.3,34,3.0,1.0,24.0,4.0
Alexander Vasyunov,185,93,27.2,18,1.0,4.0,18.0,5.0
Alexandre Boikov,183,90,26.9,10,0.0,0.0,4.0,0.0
Alexandre Daigle,183,88,26.3,215,37.0,75.0,304.0,112.0
Alexandre Giroux,190,92,25.5,48,6.0,6.0,79.0,12.0
Alexandre Picard,188,93,26.3,67,0.0,2.0,53.0,2.0
Alexandre Picard,188,100,28.3,253,19.0,50.0,291.0,69.0
Alexandre Volchkov,188,94,26.6,3,0.0,0.0,1.0,0.0
Alexei Gusarov,188,91,25.8,85,3.0,10.0,51.0,13.0
Alexei Mikhnov,196,99,25.8,2,0.0,0.0,0.0,0.0
Alexei Ponikarovsky,193,102,27.4,678,139.0,184.0,1327.0,323.0
Alexei Semenov,198,107,27.3,211,7.0,26.0,159.0,33.0
Alexei Smirnov,193,99,26.6,52,3.0,3.0,54.0,6.0
Alexei Tezikov,185,94,27.5,25,1.0,1.0,18.0,2.0
Alexei Vasiliev,185,87,25.4,1,0.0,0.0,0.0,0.0
Alexei Yashin,190,100,27.7,428,159.0,219.0,1380.0,378.0
Alexei Zhitnik,180,98,30.2,575,33.0,175.0,1020.0,208.0
Allan Rourke,185,98,28.6,55,1.0,4.0,31.0,5.0
Alyn McCauley,180,91,28.1,389,54.0,72.0,512.0,126.0
Anders Eriksson,190,102,28.2,410,13.0,116.0,441.0,129.0
Anders Lee,190,100,27.7,493,172.0,129.0,1248.0,301.0
Anders Myrvold,188,93,26.3,20,0.0,2.0,14.0,2.0
Andre Deveaux,190,109,30.2,31,0.0,2.0,18.0,2.0
Andre Roy,193,102,27.4,502,35.0,31.0,337.0,66.0
Andre Savage,183,88,26.3,60,9.0,14.0,84.0,23.0
Andreas Dackell,180,88,27.2,375,49.0,87.0,378.0,136.0
Andreas Engqvist,193,89,23.9,15,0.0,0.0,4.0,0.0
Andreas Johansson,183,92,27.5,213,51.0,52.0,398.0,103.0
Andreas Karlsson,193,93,25.0,264,16.0,35.0,254.0,51.0
Andreas Lilja,190,104,28.8,580,16.0,71.0,498.0,87.0
Andreas Nodl,185,89,26.0,183,15.0,21.0,207.0,36.0
Andreas Salomonsson,183,84,25.1,71,5.0,9.0,78.0,14.0
Andreas Thuresson,185,96,28.1,25,1.0,2.0,32.0,3.0
Andrei Bashkirov,183,98,29.3,20,0.0,3.0,22.0,3.0
Andrei Kostitsyn,183,97,29.0,398,103.0,119.0,826.0,222.0
Andrei Kovalenko,178,98,30.9,152,31.0,45.0,233.0,76.0
Andrei Loktionov,178,82,25.9,155,22.0,26.0,212.0,48.0
Andrei Markov,183,88,26.3,990,119.0,453.0,1627.0,572.0
Andrei Nazarov,196,110,28.6,326,22.0,33.0,281.0,55.0
Andrei Nikolishin,183,102,30.5,346,48.0,84.0,530.0,132.0
Andrei Skopintsev,185,91,26.6,21,1.0,3.0,10.0,4.0
Andrei Zyuzin,185,95,27.8,415,29.0,74.0,567.0,103.0
Andrej Nedorost,185,90,26.3,28,2.0,3.0,38.0,5.0
Andrej Nestrasil,190,91,25.2,128,17.0,31.0,214.0,48.0
Andrej Podkonicky,188,92,26.0,8,1.0,0.0,6.0,1.0
Andrej Sekera,183,91,27.2,764,47.0,197.0,1032.0,244.0
Andrew Agozzino,178,85,26.8,43,2.0,6.0,25.0,8.0
Andrew Alberts,196,93,24.2,459,8.0,47.0,252.0,55.0
Andrew Brunette,185,95,27.8,971,239.0,423.0,1370.0,662.0
Andrew Campbell,193,93,25.0,42,0.0,2.0,33.0,2.0
Andrew Cassels,185,84,24.5,366,70.0,204.0,510.0,274.0
Andrew Cogliano,178,83,26.2,1012,165.0,234.0,1625.0,399.0
Andrew Crescenzi,196,94,24.5,2,0.0,0.0,0.0,0.0
Andrew Ebbett,175,79,25.8,224,26.0,45.0,278.0,71.0
Andrew Gordon,183,90,26.9,55,3.0,4.0,46.0,7.0
Andrew Hutchinson,188,88,24.9,140,12.0,27.0,162.0,39.0
Andrew Joudrey,180,84,25.9,1,0.0,0.0,1.0,0.0
Andrew Ladd,185,88,25.7,950,249.0,289.0,2094.0,538.0
Andrew MacDonald,185,86,25.1,586,28.0,133.0,594.0,161.0
Andrew Murray,188,99,28.0,221,24.0,16.0,290.0,40.0
Andrew Peters,193,104,27.9,229,4.0,3.0,87.0,7.0
Andrey Zubarev,185,92,26.9,4,0.0,1.0,2.0,1.0
Andy Delmore,183,91,27.2,281,43.0,57.0,545.0,100.0
Andy Greene,180,86,26.5,933,49.0,200.0,1024.0,249.0
Andy Hilbert,180,88,27.2,307,42.0,62.0,625.0,104.0
Andy McDonald,178,79,24.9,685,182.0,307.0,1666.0,489.0
Andy Roach,180,82,25.3,5,1.0,2.0,2.0,3.0
Andy Sutton,198,111,28.3,645,38.0,109.0,663.0,147.0
Andy Wozniewski,196,102,26.6,79,2.0,10.0,51.0,12.0
Anson Carter,185,95,27.8,503,151.0,169.0,950.0,320.0
Anssi Salmela,185,91,26.6,112,4.0,17.0,139.0,21.0
Anthony Peluso,190,102,28.2,148,4.0,10.0,68.0,14.0
Anthony Stewart,190,104,28.8,262,27.0,44.0,306.0,71.0
Antoine Vermette,185,90,26.3,1046,228.0,287.0,1836.0,515.0
Anton Babchuk,196,96,25.0,289,36.0,71.0,442.0,107.0
Anton Klementyev,185,90,26.3,1,0.0,0.0,0.0,0.0
Anton Rodin,180,88,27.2,3,0.0,1.0,2.0,1.0
Anton Stralman,180,86,26.5,818,52.0,209.0,1181.0,261.0
Anton Volchenkov,185,102,29.8,696,19.0,114.0,719.0,133.0
Antti Aalto,188,98,27.7,75,8.0,12.0,120.0,20.0
Antti Laaksonen,183,82,24.5,472,80.0,85.0,646.0,165.0
Antti Miettinen,183,86,25.7,539,97.0,133.0,1014.0,230.0
Antti Niemi,185,91,26.6,29,1.0,1.0,18.0,2.0
Antti Pihlstrom,180,86,26.5,54,2.0,5.0,89.0,7.0
Anze Kopitar,190,102,28.2,1073,333.0,617.0,2600.0,950.0
Aris Brimanis,188,96,27.2,92,2.0,9.0,87.0,11.0
Arron Asham,180,93,28.7,782,94.0,114.0,854.0,208.0
Artem Anisimov,193,90,24.2,752,178.0,189.0,1350.0,367.0
Artem Chubarov,185,93,27.2,228,25.0,33.0,297.0,58.0
Arturs Kulda,188,98,27.7,15,0.0,2.0,16.0,2.0
Austin Watson,193,93,25.0,306,36.0,41.0,359.0,77.0
B.J. Crombeen,188,95,26.9,445,34.0,46.0,569.0,80.0
B.J. Young,178,81,25.6,1,0.0,0.0,1.0,0.0
Barret Jackman,183,92,27.5,876,29.0,157.0,881.0,186.0
Barrett Heisten,185,86,25.1,10,0.0,0.0,7.0,0.0
Barrie Moore,180,79,24.4,1,0.0,0.0,2.0,0.0
Barry Richter,188,91,25.8,25,0.0,2.0,13.0,2.0
Barry Tallackson,196,95,24.7,20,1.0,1.0,16.0,2.0
Bates Battaglia,188,93,26.3,487,71.0,103.0,679.0,174.0
Ben Chiarot,190,99,27.4,374,21.0,64.0,458.0,85.0
Ben Clymer,185,90,26.3,438,52.0,77.0,700.0,129.0
Ben Eager,188,109,30.8,407,43.0,42.0,404.0,85.0
Ben Guite,185,92,26.9,175,19.0,26.0,236.0,45.0
Ben Hanowski,188,88,24.9,16,1.0,2.0,14.0,3.0
Ben Lovejoy,185,93,27.2,544,20.0,81.0,717.0,101.0
Ben Maxwell,185,86,25.1,47,2.0,6.0,31.0,8.0
Ben Ondrus,180,94,29.0,52,0.0,2.0,30.0,2.0
Ben Simon,183,88,26.3,81,3.0,1.0,51.0,4.0
Ben Smith,180,90,27.8,237,29.0,25.0,254.0,54.0
Ben Walter,185,86,25.1,24,1.0,0.0,14.0,1.0
Benn Ferriero,180,85,26.2,98,14.0,9.0,170.0,23.0
Benoit Brunet,183,92,27.5,146,26.0,40.0,236.0,66.0
Benoit Dusablon,188,95,26.9,3,0.0,0.0,3.0,0.0
Benoit Gratton,180,82,25.3,36,2.0,6.0,28.0,8.0
Benoit Hogue,178,88,27.8,119,13.0,25.0,116.0,38.0
Benoit Pouliot,190,93,25.8,625,130.0,133.0,967.0,263.0
Bert Robertsson,190,93,25.8,54,0.0,4.0,31.0,4.0
Bill Bowler,175,82,26.8,9,0.0,2.0,3.0,2.0
Bill Guerin,188,100,28.3,763,278.0,271.0,2439.0,549.0
Bill Houlder,188,98,27.7,316,9.0,38.0,262.0,47.0
Bill Huard,185,98,28.6,1,0.0,0.0,0.0,0.0
Bill Lindsay,185,95,27.8,267,14.0,37.0,312.0,51.0
Bill Muckalt,185,93,27.2,183,24.0,37.0,255.0,61.0
Bill Sweatt,183,86,25.7,3,0.0,0.0,2.0,0.0
Bill Thomas,185,84,24.5,87,16.0,12.0,143.0,28.0
Billy Tibbetts,183,93,27.8,82,2.0,8.0,70.0,10.0
Bjorn Melin,185,93,27.2,3,1.0,0.0,1.0,1.0
Blair Atcheynum,188,90,25.5,66,6.0,9.0,66.0,15.0
Blair Betts,190,95,26.3,477,41.0,37.0,537.0,78.0
Blair Jones,188,98,27.7,132,7.0,10.0,147.0,17.0
Blake Bellefeuille,178,96,30.3,5,0.0,1.0,2.0,1.0
Blake Comeau,185,92,26.9,852,136.0,183.0,1444.0,319.0
Blake Geoffrion,185,88,25.7,55,8.0,5.0,53.0,13.0
Blake Sloan,178,89,28.1,276,11.0,32.0,258.0,43.0
Blake Wheeler,196,102,26.6,931,264.0,497.0,2466.0,761.0
Bob Bassen,178,86,27.1,27,1.0,3.0,26.0,4.0
Bob Boughner,183,93,27.8,374,10.0,36.0,255.0,46.0
Bob Corkum,188,98,27.7,195,15.0,18.0,191.0,33.0
Bob Probert,190,102,28.2,209,12.0,26.0,116.0,38.0
Bob Rouse,188,100,28.3,26,0.0,1.0,20.0,1.0
Bob Wren,178,84,26.5,2,0.0,0.0,0.0,0.0
Bobby Allen,185,98,28.6,51,0.0,3.0,24.0,3.0
Bobby Butler,183,88,26.3,130,20.0,29.0,207.0,49.0
Bobby Dollas,188,96,27.2,71,4.0,8.0,47.0,12.0
Bobby Holik,193,104,27.9,676,149.0,197.0,1731.0,346.0
Bobby Ryan,188,95,26.9,833,254.0,301.0,2064.0,555.0
Bobby Sanguinetti,190,86,23.8,45,2.0,4.0,58.0,6.0
Boris Mironov,193,101,27.1,319,27.0,82.0,615.0,109.0
Boris Valabik,201,116,28.7,80,0.0,7.0,43.0,7.0
Boyd Devereaux,188,88,24.9,528,60.0,100.0,679.0,160.0
Boyd Gordon,183,91,27.2,706,56.0,105.0,823.0,161.0
Boyd Kane,188,103,29.1,31,0.0,3.0,16.0,3.0
Bracken Kearns,183,91,27.2,35,3.0,3.0,40.0,6.0
Brad Bombardir,185,93,27.2,257,6.0,34.0,231.0,40.0
Brad Boyes,183,88,26.3,822,211.0,294.0,1796.0,505.0
Brad Brown,193,99,26.6,256,1.0,20.0,82.0,21.0
Brad Chartrand,180,87,26.9,215,25.0,25.0,233.0,50.0
Brad DeFauw,188,100,28.3,9,3.0,0.0,19.0,3.0
Brad Fast,183,84,25.1,1,1.0,0.0,4.0,1.0
Brad Ference,190,91,25.2,250,4.0,30.0,169.0,34.0
Brad Isbister,193,105,28.2,443,93.0,104.0,824.0,197.0
Brad Larsen,183,95,28.4,293,19.0,29.0,214.0,48.0
Brad Leeb,180,85,26.2,5,0.0,0.0,5.0,0.0
Brad Lukowich,185,93,27.2,640,22.0,87.0,444.0,109.0
Brad Marchand,175,82,26.8,751,290.0,356.0,1842.0,646.0
Brad May,185,100,29.2,523,45.0,58.0,523.0,103.0
Brad Mills,183,88,26.3,34,1.0,1.0,26.0,2.0
Brad Moran,180,85,26.2,8,1.0,2.0,9.0,3.0
Brad Norton,193,97,26.0,124,3.0,8.0,46.0,11.0
Brad Ralph,188,90,25.5,1,0.0,0.0,0.0,0.0
Brad Richards,183,89,26.6,1126,298.0,634.0,3451.0,932.0
Brad Richardson,183,89,26.6,808,106.0,136.0,1227.0,242.0
Brad Smyth,183,91,27.2,16,4.0,1.0,26.0,5.0
Brad Staubitz,185,98,28.6,230,10.0,11.0,107.0,21.0
Brad Stuart,188,98,27.7,1056,80.0,255.0,1546.0,335.0
Brad Tapper,183,82,24.5,71,14.0,11.0,123.0,25.0
Brad Tiley,185,90,26.3,2,0.0,0.0,1.0,0.0
Brad Werenka,185,102,29.8,106,5.0,13.0,85.0,18.0
Brad Winchester,196,104,27.1,390,37.0,31.0,434.0,68.0
Brady Murray,175,75,24.5,4,1.0,0.0,2.0,1.0
Brandon Bochenski,185,89,26.0,156,28.0,40.0,264.0,68.0
Brandon Bollig,188,101,28.6,241,10.0,13.0,282.0,23.0
Brandon Davidson,188,94,26.6,174,9.0,14.0,199.0,23.0
Brandon Dubinsky,188,98,27.7,823,153.0,285.0,1625.0,438.0
Brandon Gormley,188,89,25.2,58,2.0,3.0,54.0,5.0
Brandon Kozun,173,73,24.4,20,2.0,2.0,8.0,4.0
Brandon Mashinter,193,100,26.9,64,4.0,1.0,35.0,5.0
Brandon McMillan,180,86,26.5,171,14.0,22.0,191.0,36.0
Brandon Nolan,178,84,26.5,6,0.0,1.0,2.0,1.0
Brandon Pirri,183,84,25.1,275,72.0,49.0,572.0,121.0
Brandon Prust,188,88,24.9,486,40.0,75.0,408.0,115.0
Brandon Reid,175,86,28.1,13,2.0,4.0,25.0,6.0
Brandon Segal,188,98,27.7,103,11.0,11.0,105.0,22.0
Brandon Smith,185,89,26.0,28,3.0,4.0,27.0,7.0
Brandon Sutter,190,86,23.8,727,143.0,134.0,1377.0,277.0
Brandon Yip,185,91,26.6,174,29.0,27.0,269.0,56.0
Branislav Mezei,196,107,27.9,240,5.0,19.0,144.0,24.0
Branko Radivojevic,183,94,28.1,393,52.0,68.0,526.0,120.0
Brantt Myhres,190,100,27.7,39,0.0,1.0,3.0,1.0
Brayden Irwin,196,98,25.5,2,0.0,0.0,3.0,0.0
Brayden McNabb,193,98,26.3,466,18.0,72.0,490.0,90.0
Brayden Schenn,185,86,25.1,658,179.0,251.0,1384.0,430.0
Braydon Coburn,196,103,26.8,964,49.0,183.0,1280.0,232.0
Brendan Bell,188,96,27.2,102,7.0,21.0,127.0,28.0
Brendan Gallagher,175,83,27.1,547,173.0,161.0,1748.0,334.0
Brendan Mikkelson,190,93,25.8,131,1.0,9.0,99.0,10.0
Brendan Morrison,180,84,25.9,847,182.0,364.0,1483.0,546.0
Brendan Ranford,178,86,27.1,1,0.0,0.0,0.0,0.0
Brendan Shanahan,190,100,27.7,655,262.0,291.0,2304.0,553.0
Brendan Smith,188,91,25.8,478,24.0,76.0,545.0,100.0
Brendan Witt,188,101,28.6,680,17.0,79.0,688.0,96.0
Brenden Morrow,183,93,27.8,991,265.0,310.0,1670.0,575.0
Brendon Nash,190,96,26.6,2,0.0,0.0,2.0,0.0
Brent Burns,196,104,27.1,1113,210.0,484.0,3096.0,694.0
Brent Gilchrist,180,82,25.3,170,9.0,18.0,202.0,27.0
Brent Regner,180,86,26.5,7,0.0,0.0,7.0,0.0
Brent Seabrook,190,100,27.7,1114,103.0,361.0,1996.0,464.0
Brent Sopel,188,93,26.3,654,43.0,174.0,951.0,217.0
Bret Hedican,188,95,26.9,597,34.0,128.0,709.0,162.0
Brett Bellemore,193,102,27.4,121,4.0,16.0,83.0,20.0
Brett Bulmer,193,94,25.2,17,0.0,3.0,16.0,3.0
Brett Carson,193,95,25.5,90,2.0,11.0,65.0,13.0
Brett Clark,183,88,26.3,587,42.0,139.0,763.0,181.0
Brett Connolly,188,88,24.9,496,98.0,90.0,698.0,188.0
Brett Festerling,185,95,27.8,88,0.0,8.0,42.0,8.0
Brett Harkins,188,84,23.8,25,2.0,12.0,9.0,14.0
Brett Hauer,188,95,26.9,8,0.0,2.0,10.0,2.0
Brett Hull,180,93,28.7,408,155.0,191.0,1159.0,346.0
Brett Lebda,175,88,28.7,397,20.0,56.0,467.0,76.0
Brett Lysak,183,86,25.7,2,0.0,0.0,0.0,0.0
Brett MacLean,188,89,25.2,18,2.0,3.0,22.0,5.0
Brett McLean,180,84,25.9,385,56.0,106.0,629.0,162.0
Brett Skinner,185,88,25.7,11,0.0,0.0,5.0,0.0
Brett Sterling,170,79,27.3,30,5.0,4.0,44.0,9.0
Brett Sutter,183,91,27.2,60,2.0,8.0,53.0,10.0
Brian Bonin,178,84,26.5,7,0.0,0.0,7.0,0.0
Brian Boyle,198,111,28.3,805,130.0,101.0,1391.0,231.0
Brian Campbell,178,87,27.5,1082,87.0,417.0,1452.0,504.0
Brian Dumoulin,193,94,25.2,347,11.0,71.0,422.0,82.0
Brian Fahey,185,99,28.9,7,0.0,1.0,4.0,1.0
Brian Gionta,170,81,28.0,1026,291.0,304.0,2770.0,595.0
Brian Holzinger,180,86,26.5,254,30.0,65.0,330.0,95.0
Brian Lashoff,190,99,27.4,136,2.0,13.0,80.0,15.0
Brian Lee,190,93,25.8,209,5.0,31.0,159.0,36.0
Brian Leetch,183,86,25.7,398,70.0,203.0,1053.0,273.0
Brian McGrattan,193,107,28.7,317,10.0,17.0,207.0,27.0
Brian Pothier,183,90,26.9,362,26.0,92.0,571.0,118.0
Brian Rafalski,178,88,27.8,833,79.0,436.0,1533.0,515.0
Brian Rolston,188,95,26.9,919,264.0,323.0,2973.0,587.0
Brian Salcido,188,92,26.0,2,0.0,1.0,1.0,1.0
Brian Savage,185,91,26.6,360,89.0,88.0,737.0,177.0
Brian Skrudland,183,88,26.3,22,1.0,2.0,16.0,3.0
Brian Strait,185,93,27.2,187,6.0,23.0,162.0,29.0
Brian Sutherby,188,93,26.3,460,41.0,49.0,434.0,90.0
Brian Swanson,178,84,26.5,70,4.0,13.0,82.0,17.0
Brian Willsie,185,88,25.7,381,52.0,57.0,603.0,109.0
Brock Nelson,190,97,26.9,548,150.0,145.0,1154.0,295.0
Brock Trotter,178,82,25.9,2,0.0,0.0,6.0,0.0
Brodie Dupont,188,96,27.2,1,0.0,0.0,1.0,0.0
Brooks Laich,188,95,26.9,776,134.0,198.0,1469.0,332.0
Brooks Orpik,190,100,27.7,1035,18.0,176.0,768.0,194.0
Bruce Gardiner,185,88,25.7,131,12.0,25.0,118.0,37.0
Bruno Gervais,185,93,27.2,418,16.0,71.0,441.0,87.0
Bruno St. Jacques,188,98,27.7,67,3.0,7.0,41.0,10.0
Bryan Adams,180,84,25.9,11,0.0,1.0,4.0,1.0
Bryan Allen,196,101,26.3,721,29.0,107.0,692.0,136.0
Bryan Berard,188,99,28.0,393,45.0,150.0,873.0,195.0
Bryan Bickell,193,101,27.1,395,66.0,70.0,564.0,136.0
Bryan Helmer,185,94,27.5,106,8.0,14.0,110.0,22.0
Bryan Lerg,178,79,24.9,8,1.0,0.0,12.0,1.0
Bryan Little,183,87,26.0,843,217.0,304.0,1649.0,521.0
Bryan Marchment,185,91,26.6,389,13.0,52.0,348.0,65.0
Bryan McCabe,188,100,28.3,820,119.0,313.0,1717.0,432.0
Bryan Muir,193,100,26.9,213,15.0,33.0,269.0,48.0
Bryan Rodney,183,93,27.8,34,1.0,12.0,30.0,13.0
Bryan Smolinski,185,98,28.6,612,143.0,219.0,1318.0,362.0
Bryan Young,185,87,25.4,17,0.0,0.0,2.0,0.0
Bryce Lampman,185,93,27.2,10,0.0,0.0,8.0,0.0
Bryce Salvador,190,98,27.1,786,24.0,86.0,555.0,110.0
Bubba Berenzweig,185,98,28.6,37,3.0,7.0,35.0,10.0
Bud Holloway,183,88,26.3,1,0.0,0.0,1.0,0.0
Burke Henry,190,91,25.2,39,2.0,6.0,56.0,8.0
Byron Bitz,196,98,25.5,97,10.0,12.0,95.0,22.0
Byron Froese,183,93,27.8,110,5.0,11.0,119.0,16.0
Byron Ritchie,178,86,27.1,321,25.0,33.0,320.0,58.0
Cal Clutterbuck,180,99,30.6,824,120.0,116.0,1433.0,236.0
Cal O'Reilly,183,85,25.4,145,16.0,33.0,104.0,49.0
Cale Hulse,190,100,27.7,393,7.0,42.0,435.0,49.0
Calle Johansson,180,92,28.4,259,19.0,72.0,395.0,91.0
Calvin de Haan,185,89,26.0,407,14.0,87.0,571.0,101.0
Cam Barker,190,101,28.0,310,21.0,75.0,385.0,96.0
Cam Fowler,185,94,27.5,679,67.0,234.0,1109.0,301.0
Cam Janssen,183,98,29.3,336,6.0,8.0,105.0,14.0
Cam Paddock,185,87,25.4,16,2.0,1.0,17.0,3.0
Cam Severson,185,102,29.8,37,3.0,0.0,27.0,3.0
Cam Stewart,180,89,27.5,119,13.0,16.0,113.0,29.0
Cameron Gaunce,188,93,26.3,37,3.0,6.0,28.0,9.0
Cameron Mann,183,88,26.3,51,9.0,7.0,70.0,16.0
Carl Corazzini,175,80,26.1,19,2.0,1.0,21.0,3.0
Carl Gunnarsson,188,89,25.2,617,30.0,106.0,527.0,136.0
Carl Klingberg,190,93,25.8,12,1.0,0.0,10.0,1.0
Carl Sneep,190,100,27.7,1,0.0,1.0,0.0,1.0
Carl Soderberg,190,95,26.3,552,103.0,177.0,1062.0,280.0
Carlo Colaiacovo,185,91,26.6,470,34.0,123.0,523.0,157.0
Carsen Germyn,180,86,26.5,4,0.0,0.0,5.0,0.0
Carson McMillan,185,89,26.0,16,2.0,3.0,13.0,5.0
Carter Ashton,190,98,27.1,54,0.0,3.0,49.0,3.0
Carter Bancks,180,82,25.3,2,0.0,0.0,0.0,0.0
Casey Borer,188,93,26.3,16,1.0,2.0,5.0,3.0
Casey Cizikas,178,91,28.7,534,74.0,97.0,644.0,171.0
Casey Hankinson,185,89,26.0,18,0.0,1.0,16.0,1.0
Casey Wellman,183,83,24.8,54,6.0,10.0,78.0,16.0
Chad Kilger,193,101,27.1,507,78.0,77.0,635.0,155.0
Chad Kolarik,178,82,25.9,6,0.0,1.0,6.0,1.0
Chad LaRose,178,82,25.9,508,85.0,95.0,1022.0,180.0
Chad Rau,180,83,25.6,9,2.0,0.0,7.0,2.0
Chad Wiseman,185,93,27.2,9,1.0,1.0,5.0,2.0
Charles Linglet,188,95,26.9,5,0.0,0.0,7.0,0.0
Charlie Stephens,190,100,27.7,8,0.0,2.0,2.0,2.0
Chris Armstrong,183,92,27.5,7,0.0,1.0,12.0,1.0
Chris Bala,185,88,25.7,6,0.0,1.0,2.0,1.0
Chris Bourque,173,82,27.4,51,2.0,6.0,60.0,8.0
Chris Breen,201,102,25.2,9,0.0,2.0,4.0,2.0
Chris Butler,185,91,26.6,407,14.0,72.0,405.0,86.0
Chris Campoli,183,91,27.2,440,35.0,111.0,521.0,146.0
Chris Chelios,185,86,25.1,575,20.0,130.0,728.0,150.0
